dataset,method,round,phase,existing_id,existing_ood,newcomer_id,newcomer_ood
cifar10,FedAvg,33,phase1,0.434,0.14225,,
cifar10,FedAvg,34,phase1,0.44066667,0.142125,,
cifar10,FedAvg,35,phase1,0.43916667,0.14379167,,
cifar10,FedAvg,36,phase1,0.446,0.14075,,
cifar10,FedAvg,37,phase1,0.44983333,0.14075,,
cifar10,FedAvg,38,phase1,0.45033333,0.13954167,,
cifar10,FedAvg,39,phase1,0.45383333,0.137875,,
cifar10,FedAvg,40,phase1,0.4545,0.141625,,
cifar10,FedAvg,41,phase1,0.45666667,0.13958333,,
cifar10,FedAvg,42,phase1,0.46016667,0.13904167,,
cifar10,FedAvg,43,phase1,0.45983333,0.14645833,,
cifar10,FedAvg,44,phase1,0.465,0.13291667,,
cifar10,FedAvg,45,phase1,0.46466667,0.13841667,,
cifar10,FedAvg,46,phase1,0.467,0.140125,,
cifar10,FedAvg,47,phase1,0.46766667,0.14220833,,
cifar10,FedAvg,48,phase1,0.4715,0.14354167,,
cifar10,FedAvg,49,phase1,0.47383333,0.14275,,
cifar10,FedAvg,50,phase1,0.47716667,0.14258333,,
cifar10,FedAvg,51,phase2,0.473,0.14225,0.0,0.125
cifar10,FedAvg,52,phase2,0.45833333,0.11325,0.0,0.1551875
cifar10,FedAvg,53,phase2,0.45916667,0.11229167,0.0,0.1909375
cifar10,FedAvg,54,phase2,0.4645,0.11304167,0.0,0.241625
cifar10,FedAvg,55,phase2,0.4595,0.11570833,0.00675,0.2715
cifar10,FedAvg,56,phase2,0.42833333,0.12233333,0.12125,0.285375
cifar10,FedAvg,57,phase2,0.405,0.12933333,0.17075,0.283625
cifar10,FedAvg,58,phase2,0.39683333,0.12929167,0.202,0.283875
cifar10,FedAvg,59,phase2,0.39983333,0.13183333,0.21975,0.2883125
cifar10,FedAvg,60,phase2,0.39816667,0.1365,0.234,0.2889375
cifar10,FedAvg,61,phase2,0.38966667,0.14458333,0.24525,0.2885625
cifar10,FedAvg,62,phase2,0.39333333,0.1415,0.2555,0.288875
cifar10,FedAvg,63,phase2,0.38966667,0.14454167,0.25625,0.29025
cifar10,FedAvg,64,phase2,0.39233333,0.15029167,0.27425,0.2924375
cifar10,FedAvg,65,phase2,0.39216667,0.14920833,0.273,0.2930625
cifar10,FedAvg,66,phase2,0.39533333,0.15154167,0.275,0.29175
cifar10,FedAvg,67,phase2,0.39466667,0.15425,0.28,0.2904375
cifar10,FedAvg,68,phase2,0.39833333,0.15141667,0.28525,0.29175
cifar10,FedAvg,69,phase2,0.401,0.15658333,0.298,0.293625
cifar10,FedAvg,70,phase2,0.39916667,0.162,0.29125,0.295
cifar10,FedAvg,71,phase2,0.396,0.16383333,0.302,0.295375
cifar10,FedAvg,72,phase2,0.39433333,0.16779167,0.30425,0.2921875
cifar10,FedAvg,73,phase2,0.397,0.16991667,0.31075,0.2935625
cifar10,FedAvg,74,phase2,0.39766667,0.17175,0.31425,0.2975
cifar10,FedAvg,75,phase2,0.40416667,0.17291667,0.32625,0.2974375
cifar10,FedAvg,76,phase2,0.40016667,0.18016667,0.3285,0.2975625
cifar10,FedAvg,77,phase2,0.40466667,0.17758333,0.34875,0.296625
cifar10,FedAvg,78,phase2,0.40416667,0.17779167,0.357,0.2991875
cifar10,FedAvg,79,phase2,0.40516667,0.178,0.35725,0.2988125
cifar10,FedAvg,80,phase2,0.4055,0.18395833,0.3625,0.3
cifar10,FedAvg,81,phase2,0.40483333,0.18954167,0.37575,0.30125
cifar10,FedAvg,82,phase2,0.405,0.18079167,0.39175,0.3005625
cifar10,FedAvg,83,phase2,0.40683333,0.18616667,0.40725,0.3010625
cifar10,FedAvg,84,phase2,0.4045,0.18995833,0.4115,0.3024375
cifar10,FedAvg,85,phase2,0.40183333,0.19083333,0.41375,0.3041875
cifar10,FedAvg,86,phase2,0.39633333,0.20175,0.419,0.3005625
cifar10,FedAvg,87,phase2,0.39616667,0.20091667,0.42675,0.303875
cifar10,FedAvg,88,phase2,0.3925,0.200625,0.43725,0.3044375
cifar10,FedAvg,89,phase2,0.39633333,0.21004167,0.43075,0.2994375
cifar10,FedAvg,90,phase2,0.3915,0.21320833,0.4395,0.301125
cifar10,FedAvg,91,phase2,0.392,0.21508333,0.4475,0.3046875
cifar10,FedAvg,92,phase2,0.389,0.21875,0.449,0.3014375
cifar10,FedAvg,93,phase2,0.3885,0.22079167,0.454,0.3044375
cifar10,FedAvg,94,phase2,0.39166667,0.22016667,0.475,0.300625
cifar10,FedAvg,95,phase2,0.3885,0.22154167,0.472,0.298375
cifar10,FedAvg,96,phase2,0.38883333,0.22695833,0.47525,0.301875
cifar10,FedAvg,97,phase2,0.39033333,0.229625,0.47625,0.3016875
cifar10,FedAvg,98,phase2,0.38616667,0.23395833,0.473,0.3050625
cifar10,FedAvg,99,phase2,0.39233333,0.229375,0.49125,0.302125
cifar10,FedAvg,100,phase2,0.39083333,0.22645833,0.499,0.2993125
cifar10,FedBN,0,phase1,0.16666667,0.08333333,,
cifar10,FedBN,1,phase1,0.33183333,0.05608333,,
cifar10,FedBN,2,phase1,0.4385,0.05441667,,
cifar10,FedBN,3,phase1,0.417,0.10358333,,
cifar10,FedBN,4,phase1,0.41916667,0.1255,,
cifar10,FedBN,5,phase1,0.41716667,0.13191667,,
cifar10,FedBN,6,phase1,0.42616667,0.135375,,
cifar10,FedBN,7,phase1,0.42566667,0.14033333,,
cifar10,FedBN,8,phase1,0.437,0.14258333,,
cifar10,FedBN,9,phase1,0.439,0.145625,,
cifar10,FedBN,10,phase1,0.447,0.1485,,
cifar10,FedBN,11,phase1,0.45133333,0.14908333,,
cifar10,FedBN,12,phase1,0.4625,0.1465,,
cifar10,FedBN,13,phase1,0.46716667,0.14445833,,
cifar10,FedBN,14,phase1,0.46583333,0.1415,,
cifar10,FedBN,15,phase1,0.47266667,0.13758333,,
cifar10,FedBN,16,phase1,0.4765,0.13445833,,
cifar10,FedBN,17,phase1,0.47366667,0.13208333,,
cifar10,FedBN,18,phase1,0.47683333,0.132375,,
cifar10,FedBN,19,phase1,0.4805,0.12895833,,
cifar10,FedBN,20,phase1,0.48083333,0.12591667,,
cifar10,FedBN,21,phase1,0.48383333,0.1255,,
cifar10,FedBN,22,phase1,0.48933333,0.125875,,
cifar10,FedBN,23,phase1,0.492,0.12354167,,
cifar10,FedBN,24,phase1,0.49166667,0.12325,,
cifar10,FedBN,25,phase1,0.49566667,0.12179167,,
cifar10,FedBN,26,phase1,0.49683333,0.12279167,,
cifar10,FedBN,27,phase1,0.50283333,0.120375,,
cifar10,FedBN,28,phase1,0.506,0.11625,,
cifar10,FedBN,29,phase1,0.504,0.11754167,,
cifar10,FedBN,30,phase1,0.50883333,0.11866667,,
cifar10,FedBN,31,phase1,0.51116667,0.11620833,,
